text(string),label
i find every body beautiful and only want people to feel vital in their bodies,1
or i just worry too much?,0
hmmmm... i wonder how she got my number,5
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,3
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1
i feel like throwing away the shitty piece of shit paper,0
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2
i am letting go of the animosity that is towards anyone that i feel has wronged me,3
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3
i feel so worthless during those times i was struggling finding work,0
i didnt feel humiliated,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
The Lecturer was so dumb i regret wasting my time pursuing this course,3
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2
i am feeling grouchy,3
ive been feeling a little burdened lately wasnt sure why that was,0
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
I'm surprised the clothing store was open.,5
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
i feel romantic too,2
i feel like i have to make the suffering i m seeing mean something,0
I Study in the best college,1
i think it is the easiest time of year to feel dissatisfied,3
i feel low energy i m just thirsty,0
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1
i do not feel reassured anxiety is on each side,1
i didnt really feel that embarrassed,0
i feel pretty pathetic most of the time,0
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
i now feel compromised and skeptical of the value of every unit of work i put in,4
i feel irritated and rejected without anyone doing anything or saying anything,3
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
i have the feeling she was amused and delighted,1
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1
i already feel like i fucked up though because i dont usually eat at all in the morning,3
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
i become overwhelmed and feel defeated,0
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
i feel more superior dead chicken or grieving child,1
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1
i remember feeling acutely distressed for a few days,4
